"If phenylephrine doesn't work for priapism, what else can be used?","If phenylephrine fails to detumesce an ischemic (low‑flow) priapism, the next steps are:

1. **Repeat aspiration/irrigation** – ensure thorough blood removal and saline flush.  
2. **Alternative intracavernosal sympathomimetics** (used if phenylephrine is ineffective or contraindicated):  
   - **Epinephrine** 1 mg (10 mL of 1:1000) diluted to 1 mg/100 mL; give 1 mL every 5–10 min (max 3–4 mL).  
   - **Norepinephrine** 4 mg (40 mL of 1 mg/mL) diluted to 4 mg/100 mL; 1 mL bolus repeatable.  
   - **Metaraminol** 10 mg in 100 mL saline; 1 mL bolus repeatable.  
   - **Phenylephrine at a higher concentration** (if not already maxed out) – 500 µg/mL, up to 1 mg total, monitored for hypertension.

3. **Surgical shunt** – if pharmacologic measures fail after 3–4 attempts or >30 min of ischemic priapism:  
   - **Distal shunts** (e.g., Winter, Ebbehoj, or T-shunt).  
   - **Proximal shunts** (e.g., Quackels or Al‑Ghorab) for refractory cases.

4. **Adjuncts** (used in select centers):  
   - **Intracavernosal nitroglycerin** (very rarely, 0.1 mg).  
   - **Topical or systemic vasodilators** (e.g., sildenafil) are *not* indicated for acute priapism.

**Bottom line:** After phenylephrine, try another intracavernosal sympathomimetic (epinephrine, norepinephrine, or metaraminol) with continued aspiration/irrigation, and if the erection persists, proceed promptly to a surgical shunt to prevent permanent erectile tissue damage.",ischemic priapism,indication,epinephrine,Unverifiable,Disease 'ischemic priapism' not found in dataset.
"If phenylephrine doesn't work for priapism, what else can be used?","If phenylephrine fails to detumesce an ischemic (low‑flow) priapism, the next steps are:

1. **Repeat aspiration/irrigation** – ensure thorough blood removal and saline flush.  
2. **Alternative intracavernosal sympathomimetics** (used if phenylephrine is ineffective or contraindicated):  
   - **Epinephrine** 1 mg (10 mL of 1:1000) diluted to 1 mg/100 mL; give 1 mL every 5–10 min (max 3–4 mL).  
   - **Norepinephrine** 4 mg (40 mL of 1 mg/mL) diluted to 4 mg/100 mL; 1 mL bolus repeatable.  
   - **Metaraminol** 10 mg in 100 mL saline; 1 mL bolus repeatable.  
   - **Phenylephrine at a higher concentration** (if not already maxed out) – 500 µg/mL, up to 1 mg total, monitored for hypertension.

3. **Surgical shunt** – if pharmacologic measures fail after 3–4 attempts or >30 min of ischemic priapism:  
   - **Distal shunts** (e.g., Winter, Ebbehoj, or T-shunt).  
   - **Proximal shunts** (e.g., Quackels or Al‑Ghorab) for refractory cases.

4. **Adjuncts** (used in select centers):  
   - **Intracavernosal nitroglycerin** (very rarely, 0.1 mg).  
   - **Topical or systemic vasodilators** (e.g., sildenafil) are *not* indicated for acute priapism.

**Bottom line:** After phenylephrine, try another intracavernosal sympathomimetic (epinephrine, norepinephrine, or metaraminol) with continued aspiration/irrigation, and if the erection persists, proceed promptly to a surgical shunt to prevent permanent erectile tissue damage.",ischemic priapism,indication,norepinephrine,Unverifiable,Disease 'ischemic priapism' not found in dataset.
"If phenylephrine doesn't work for priapism, what else can be used?","If phenylephrine fails to detumesce an ischemic (low‑flow) priapism, the next steps are:

1. **Repeat aspiration/irrigation** – ensure thorough blood removal and saline flush.  
2. **Alternative intracavernosal sympathomimetics** (used if phenylephrine is ineffective or contraindicated):  
   - **Epinephrine** 1 mg (10 mL of 1:1000) diluted to 1 mg/100 mL; give 1 mL every 5–10 min (max 3–4 mL).  
   - **Norepinephrine** 4 mg (40 mL of 1 mg/mL) diluted to 4 mg/100 mL; 1 mL bolus repeatable.  
   - **Metaraminol** 10 mg in 100 mL saline; 1 mL bolus repeatable.  
   - **Phenylephrine at a higher concentration** (if not already maxed out) – 500 µg/mL, up to 1 mg total, monitored for hypertension.

3. **Surgical shunt** – if pharmacologic measures fail after 3–4 attempts or >30 min of ischemic priapism:  
   - **Distal shunts** (e.g., Winter, Ebbehoj, or T-shunt).  
   - **Proximal shunts** (e.g., Quackels or Al‑Ghorab) for refractory cases.

4. **Adjuncts** (used in select centers):  
   - **Intracavernosal nitroglycerin** (very rarely, 0.1 mg).  
   - **Topical or systemic vasodilators** (e.g., sildenafil) are *not* indicated for acute priapism.

**Bottom line:** After phenylephrine, try another intracavernosal sympathomimetic (epinephrine, norepinephrine, or metaraminol) with continued aspiration/irrigation, and if the erection persists, proceed promptly to a surgical shunt to prevent permanent erectile tissue damage.",ischemic priapism,indication,metaraminol,Unverifiable,Disease 'ischemic priapism' not found in dataset.
"If phenylephrine doesn't work for priapism, what else can be used?","If phenylephrine fails to detumesce an ischemic (low‑flow) priapism, the next steps are:

1. **Repeat aspiration/irrigation** – ensure thorough blood removal and saline flush.  
2. **Alternative intracavernosal sympathomimetics** (used if phenylephrine is ineffective or contraindicated):  
   - **Epinephrine** 1 mg (10 mL of 1:1000) diluted to 1 mg/100 mL; give 1 mL every 5–10 min (max 3–4 mL).  
   - **Norepinephrine** 4 mg (40 mL of 1 mg/mL) diluted to 4 mg/100 mL; 1 mL bolus repeatable.  
   - **Metaraminol** 10 mg in 100 mL saline; 1 mL bolus repeatable.  
   - **Phenylephrine at a higher concentration** (if not already maxed out) – 500 µg/mL, up to 1 mg total, monitored for hypertension.

3. **Surgical shunt** – if pharmacologic measures fail after 3–4 attempts or >30 min of ischemic priapism:  
   - **Distal shunts** (e.g., Winter, Ebbehoj, or T-shunt).  
   - **Proximal shunts** (e.g., Quackels or Al‑Ghorab) for refractory cases.

4. **Adjuncts** (used in select centers):  
   - **Intracavernosal nitroglycerin** (very rarely, 0.1 mg).  
   - **Topical or systemic vasodilators** (e.g., sildenafil) are *not* indicated for acute priapism.

**Bottom line:** After phenylephrine, try another intracavernosal sympathomimetic (epinephrine, norepinephrine, or metaraminol) with continued aspiration/irrigation, and if the erection persists, proceed promptly to a surgical shunt to prevent permanent erectile tissue damage.",ischemic priapism,indication,phenylephrine,Unverifiable,Disease 'ischemic priapism' not found in dataset.
"If phenylephrine doesn't work for priapism, what else can be used?","If phenylephrine fails to detumesce an ischemic (low‑flow) priapism, the next steps are:

1. **Repeat aspiration/irrigation** – ensure thorough blood removal and saline flush.  
2. **Alternative intracavernosal sympathomimetics** (used if phenylephrine is ineffective or contraindicated):  
   - **Epinephrine** 1 mg (10 mL of 1:1000) diluted to 1 mg/100 mL; give 1 mL every 5–10 min (max 3–4 mL).  
   - **Norepinephrine** 4 mg (40 mL of 1 mg/mL) diluted to 4 mg/100 mL; 1 mL bolus repeatable.  
   - **Metaraminol** 10 mg in 100 mL saline; 1 mL bolus repeatable.  
   - **Phenylephrine at a higher concentration** (if not already maxed out) – 500 µg/mL, up to 1 mg total, monitored for hypertension.

3. **Surgical shunt** – if pharmacologic measures fail after 3–4 attempts or >30 min of ischemic priapism:  
   - **Distal shunts** (e.g., Winter, Ebbehoj, or T-shunt).  
   - **Proximal shunts** (e.g., Quackels or Al‑Ghorab) for refractory cases.

4. **Adjuncts** (used in select centers):  
   - **Intracavernosal nitroglycerin** (very rarely, 0.1 mg).  
   - **Topical or systemic vasodilators** (e.g., sildenafil) are *not* indicated for acute priapism.

**Bottom line:** After phenylephrine, try another intracavernosal sympathomimetic (epinephrine, norepinephrine, or metaraminol) with continued aspiration/irrigation, and if the erection persists, proceed promptly to a surgical shunt to prevent permanent erectile tissue damage.",ischemic priapism,off label use,nitroglycerin,Unverifiable,Disease 'ischemic priapism' not found in dataset.
Can you list a few other treatments for hereditary persistence of fetal hemoglobin other than iopodic acid?,"Hereditary persistence of fetal hemoglobin (HPFH) is usually a benign condition that does not require therapy, but agents that raise fetal hemoglobin (Hb F) are sometimes used when HPFH co‑exists with other hemoglobin disorders (e.g., sickle‑cell disease).  Besides iopodic acid, the most commonly referenced treatments that can increase Hb F are:

| Treatment | Typical use / notes |
|-----------|----------------------|
| **Hydroxyurea** | Oral chemotherapeutic that modestly raises Hb F; standard of care for sickle‑cell disease and some β‑thalassemia patients. |
| **Decitabine (5‑aza‑2′‑deoxycytidine)** | DNA‑methyltransferase inhibitor; can induce Hb F production, used off‑label in select hemoglobinopathies. |
| **5‑Azacytidine** | Similar to decitabine; also a methylation inhibitor that can increase Hb F. |
| **Gene‑editing or gene‑addition therapy** (e.g., CRISPR‑Cas9 editing of the BCL11A erythroid enhancer, lentiviral HbF gene addition) | Experimental/clinical‑trial approaches aiming for durable Hb F elevation. |
| **Allogeneic hematopoietic stem‑cell transplantation (HSCT)** | Curative for severe sickle‑cell disease or β‑thalassemia; the graft’s Hb F levels may be higher, but transplantation is a major procedure with significant risks. |

*Key point:* In isolated HPFH, treatment is generally unnecessary because the condition is asymptomatic. These therapies are considered only when HPFH is present alongside a disease that benefits from increased Hb F. Always discuss options with a hematologist before initiating any medication or procedure.",sickle-cell disease,indication,hydroxyurea,Unverifiable,Disease 'sickle-cell disease' not found in dataset.
Can you list a few other treatments for hereditary persistence of fetal hemoglobin other than iopodic acid?,"Hereditary persistence of fetal hemoglobin (HPFH) is usually a benign condition that does not require therapy, but agents that raise fetal hemoglobin (Hb F) are sometimes used when HPFH co‑exists with other hemoglobin disorders (e.g., sickle‑cell disease).  Besides iopodic acid, the most commonly referenced treatments that can increase Hb F are:

| Treatment | Typical use / notes |
|-----------|----------------------|
| **Hydroxyurea** | Oral chemotherapeutic that modestly raises Hb F; standard of care for sickle‑cell disease and some β‑thalassemia patients. |
| **Decitabine (5‑aza‑2′‑deoxycytidine)** | DNA‑methyltransferase inhibitor; can induce Hb F production, used off‑label in select hemoglobinopathies. |
| **5‑Azacytidine** | Similar to decitabine; also a methylation inhibitor that can increase Hb F. |
| **Gene‑editing or gene‑addition therapy** (e.g., CRISPR‑Cas9 editing of the BCL11A erythroid enhancer, lentiviral HbF gene addition) | Experimental/clinical‑trial approaches aiming for durable Hb F elevation. |
| **Allogeneic hematopoietic stem‑cell transplantation (HSCT)** | Curative for severe sickle‑cell disease or β‑thalassemia; the graft’s Hb F levels may be higher, but transplantation is a major procedure with significant risks. |

*Key point:* In isolated HPFH, treatment is generally unnecessary because the condition is asymptomatic. These therapies are considered only when HPFH is present alongside a disease that benefits from increased Hb F. Always discuss options with a hematologist before initiating any medication or procedure.",beta-thalassemia,indication,hydroxyurea,Hallucination,No edge between 'beta thalassemia' and 'hydroxyurea'.
Can you list a few other treatments for hereditary persistence of fetal hemoglobin other than iopodic acid?,"Hereditary persistence of fetal hemoglobin (HPFH) is usually a benign condition that does not require therapy, but agents that raise fetal hemoglobin (Hb F) are sometimes used when HPFH co‑exists with other hemoglobin disorders (e.g., sickle‑cell disease).  Besides iopodic acid, the most commonly referenced treatments that can increase Hb F are:

| Treatment | Typical use / notes |
|-----------|----------------------|
| **Hydroxyurea** | Oral chemotherapeutic that modestly raises Hb F; standard of care for sickle‑cell disease and some β‑thalassemia patients. |
| **Decitabine (5‑aza‑2′‑deoxycytidine)** | DNA‑methyltransferase inhibitor; can induce Hb F production, used off‑label in select hemoglobinopathies. |
| **5‑Azacytidine** | Similar to decitabine; also a methylation inhibitor that can increase Hb F. |
| **Gene‑editing or gene‑addition therapy** (e.g., CRISPR‑Cas9 editing of the BCL11A erythroid enhancer, lentiviral HbF gene addition) | Experimental/clinical‑trial approaches aiming for durable Hb F elevation. |
| **Allogeneic hematopoietic stem‑cell transplantation (HSCT)** | Curative for severe sickle‑cell disease or β‑thalassemia; the graft’s Hb F levels may be higher, but transplantation is a major procedure with significant risks. |

*Key point:* In isolated HPFH, treatment is generally unnecessary because the condition is asymptomatic. These therapies are considered only when HPFH is present alongside a disease that benefits from increased Hb F. Always discuss options with a hematologist before initiating any medication or procedure.",sickle-cell disease,off label use,decitabine,Unverifiable,Disease 'sickle-cell disease' not found in dataset.
Can you list a few other treatments for hereditary persistence of fetal hemoglobin other than iopodic acid?,"Hereditary persistence of fetal hemoglobin (HPFH) is usually a benign condition that does not require therapy, but agents that raise fetal hemoglobin (Hb F) are sometimes used when HPFH co‑exists with other hemoglobin disorders (e.g., sickle‑cell disease).  Besides iopodic acid, the most commonly referenced treatments that can increase Hb F are:

| Treatment | Typical use / notes |
|-----------|----------------------|
| **Hydroxyurea** | Oral chemotherapeutic that modestly raises Hb F; standard of care for sickle‑cell disease and some β‑thalassemia patients. |
| **Decitabine (5‑aza‑2′‑deoxycytidine)** | DNA‑methyltransferase inhibitor; can induce Hb F production, used off‑label in select hemoglobinopathies. |
| **5‑Azacytidine** | Similar to decitabine; also a methylation inhibitor that can increase Hb F. |
| **Gene‑editing or gene‑addition therapy** (e.g., CRISPR‑Cas9 editing of the BCL11A erythroid enhancer, lentiviral HbF gene addition) | Experimental/clinical‑trial approaches aiming for durable Hb F elevation. |
| **Allogeneic hematopoietic stem‑cell transplantation (HSCT)** | Curative for severe sickle‑cell disease or β‑thalassemia; the graft’s Hb F levels may be higher, but transplantation is a major procedure with significant risks. |

*Key point:* In isolated HPFH, treatment is generally unnecessary because the condition is asymptomatic. These therapies are considered only when HPFH is present alongside a disease that benefits from increased Hb F. Always discuss options with a hematologist before initiating any medication or procedure.",beta-thalassemia,off label use,decitabine,Hallucination,No edge between 'beta thalassemia' and 'decitabine'.
Can you list a few other treatments for hereditary persistence of fetal hemoglobin other than iopodic acid?,"Hereditary persistence of fetal hemoglobin (HPFH) is usually a benign condition that does not require therapy, but agents that raise fetal hemoglobin (Hb F) are sometimes used when HPFH co‑exists with other hemoglobin disorders (e.g., sickle‑cell disease).  Besides iopodic acid, the most commonly referenced treatments that can increase Hb F are:

| Treatment | Typical use / notes |
|-----------|----------------------|
| **Hydroxyurea** | Oral chemotherapeutic that modestly raises Hb F; standard of care for sickle‑cell disease and some β‑thalassemia patients. |
| **Decitabine (5‑aza‑2′‑deoxycytidine)** | DNA‑methyltransferase inhibitor; can induce Hb F production, used off‑label in select hemoglobinopathies. |
| **5‑Azacytidine** | Similar to decitabine; also a methylation inhibitor that can increase Hb F. |
| **Gene‑editing or gene‑addition therapy** (e.g., CRISPR‑Cas9 editing of the BCL11A erythroid enhancer, lentiviral HbF gene addition) | Experimental/clinical‑trial approaches aiming for durable Hb F elevation. |
| **Allogeneic hematopoietic stem‑cell transplantation (HSCT)** | Curative for severe sickle‑cell disease or β‑thalassemia; the graft’s Hb F levels may be higher, but transplantation is a major procedure with significant risks. |

*Key point:* In isolated HPFH, treatment is generally unnecessary because the condition is asymptomatic. These therapies are considered only when HPFH is present alongside a disease that benefits from increased Hb F. Always discuss options with a hematologist before initiating any medication or procedure.",sickle-cell disease,off label use,azacitidine,Unverifiable,Disease 'sickle-cell disease' not found in dataset.
Can you list a few other treatments for hereditary persistence of fetal hemoglobin other than iopodic acid?,"Hereditary persistence of fetal hemoglobin (HPFH) is usually a benign condition that does not require therapy, but agents that raise fetal hemoglobin (Hb F) are sometimes used when HPFH co‑exists with other hemoglobin disorders (e.g., sickle‑cell disease).  Besides iopodic acid, the most commonly referenced treatments that can increase Hb F are:

| Treatment | Typical use / notes |
|-----------|----------------------|
| **Hydroxyurea** | Oral chemotherapeutic that modestly raises Hb F; standard of care for sickle‑cell disease and some β‑thalassemia patients. |
| **Decitabine (5‑aza‑2′‑deoxycytidine)** | DNA‑methyltransferase inhibitor; can induce Hb F production, used off‑label in select hemoglobinopathies. |
| **5‑Azacytidine** | Similar to decitabine; also a methylation inhibitor that can increase Hb F. |
| **Gene‑editing or gene‑addition therapy** (e.g., CRISPR‑Cas9 editing of the BCL11A erythroid enhancer, lentiviral HbF gene addition) | Experimental/clinical‑trial approaches aiming for durable Hb F elevation. |
| **Allogeneic hematopoietic stem‑cell transplantation (HSCT)** | Curative for severe sickle‑cell disease or β‑thalassemia; the graft’s Hb F levels may be higher, but transplantation is a major procedure with significant risks. |

*Key point:* In isolated HPFH, treatment is generally unnecessary because the condition is asymptomatic. These therapies are considered only when HPFH is present alongside a disease that benefits from increased Hb F. Always discuss options with a hematologist before initiating any medication or procedure.",beta-thalassemia,off label use,azacitidine,Hallucination,No edge between 'beta thalassemia' and 'azacitidine'.
Can you list a few other treatments for hereditary persistence of fetal hemoglobin other than iopodic acid?,"Hereditary persistence of fetal hemoglobin (HPFH) is usually a benign condition that does not require therapy, but agents that raise fetal hemoglobin (Hb F) are sometimes used when HPFH co‑exists with other hemoglobin disorders (e.g., sickle‑cell disease).  Besides iopodic acid, the most commonly referenced treatments that can increase Hb F are:

| Treatment | Typical use / notes |
|-----------|----------------------|
| **Hydroxyurea** | Oral chemotherapeutic that modestly raises Hb F; standard of care for sickle‑cell disease and some β‑thalassemia patients. |
| **Decitabine (5‑aza‑2′‑deoxycytidine)** | DNA‑methyltransferase inhibitor; can induce Hb F production, used off‑label in select hemoglobinopathies. |
| **5‑Azacytidine** | Similar to decitabine; also a methylation inhibitor that can increase Hb F. |
| **Gene‑editing or gene‑addition therapy** (e.g., CRISPR‑Cas9 editing of the BCL11A erythroid enhancer, lentiviral HbF gene addition) | Experimental/clinical‑trial approaches aiming for durable Hb F elevation. |
| **Allogeneic hematopoietic stem‑cell transplantation (HSCT)** | Curative for severe sickle‑cell disease or β‑thalassemia; the graft’s Hb F levels may be higher, but transplantation is a major procedure with significant risks. |

*Key point:* In isolated HPFH, treatment is generally unnecessary because the condition is asymptomatic. These therapies are considered only when HPFH is present alongside a disease that benefits from increased Hb F. Always discuss options with a hematologist before initiating any medication or procedure.",sickle-cell disease,indication,iopodic acid,Unverifiable,Disease 'sickle-cell disease' not found in dataset.
Can you list a few other treatments for hereditary persistence of fetal hemoglobin other than iopodic acid?,"Hereditary persistence of fetal hemoglobin (HPFH) is usually a benign condition that does not require therapy, but agents that raise fetal hemoglobin (Hb F) are sometimes used when HPFH co‑exists with other hemoglobin disorders (e.g., sickle‑cell disease).  Besides iopodic acid, the most commonly referenced treatments that can increase Hb F are:

| Treatment | Typical use / notes |
|-----------|----------------------|
| **Hydroxyurea** | Oral chemotherapeutic that modestly raises Hb F; standard of care for sickle‑cell disease and some β‑thalassemia patients. |
| **Decitabine (5‑aza‑2′‑deoxycytidine)** | DNA‑methyltransferase inhibitor; can induce Hb F production, used off‑label in select hemoglobinopathies. |
| **5‑Azacytidine** | Similar to decitabine; also a methylation inhibitor that can increase Hb F. |
| **Gene‑editing or gene‑addition therapy** (e.g., CRISPR‑Cas9 editing of the BCL11A erythroid enhancer, lentiviral HbF gene addition) | Experimental/clinical‑trial approaches aiming for durable Hb F elevation. |
| **Allogeneic hematopoietic stem‑cell transplantation (HSCT)** | Curative for severe sickle‑cell disease or β‑thalassemia; the graft’s Hb F levels may be higher, but transplantation is a major procedure with significant risks. |

*Key point:* In isolated HPFH, treatment is generally unnecessary because the condition is asymptomatic. These therapies are considered only when HPFH is present alongside a disease that benefits from increased Hb F. Always discuss options with a hematologist before initiating any medication or procedure.",beta-thalassemia,indication,iopodic acid,Hallucination,No edge between 'beta thalassemia' and 'iopodic acid'.
For what disease would a doctor usually prescribe povidone-iodine?,"Povidone‑iodine is prescribed as a topical antiseptic—most often for **preventing or treating superficial skin infections and wound contamination** (e.g., minor cuts, abrasions, burns, or pre‑operative skin preparation). It isn’t used for a specific disease but for general skin antisepsis.",skin infection,indication,povidone-iodine,Hallucination,No edge between 'tinea infection' and 'povidone-iodine'.
For what disease would a doctor usually prescribe povidone-iodine?,"Povidone‑iodine is prescribed as a topical antiseptic—most often for **preventing or treating superficial skin infections and wound contamination** (e.g., minor cuts, abrasions, burns, or pre‑operative skin preparation). It isn’t used for a specific disease but for general skin antisepsis.",wound contamination,indication,povidone-iodine,Unverifiable,Disease 'wound contamination' not found in dataset.
For what disease would a doctor usually prescribe povidone-iodine?,"Povidone‑iodine is prescribed as a topical antiseptic—most often for **preventing or treating superficial skin infections and wound contamination** (e.g., minor cuts, abrasions, burns, or pre‑operative skin preparation). It isn’t used for a specific disease but for general skin antisepsis.",cut,indication,povidone-iodine,Unverifiable,Disease 'cut' not found in dataset.
